,name,dtype,thr,f1,roc,pr
0,13,test,0.5,0.5278,0.5275,0.6097
1,7,test,0.5,0.5206,0.535,0.6292
2,8,test,0.5,0.5116,0.5358,0.6218
3,4,test,0.5,0.5088,0.5089,0.5998
4,10,test,0.5,0.4992,0.4959,0.5971
5,14,test,0.5,0.4958,0.4942,0.5887
6,2,test,0.5,0.4864,0.5044,0.6163
7,3,test,0.5,0.4864,0.5043,0.6161
8,9,test,0.5,0.4864,0.5044,0.6163
9,11,test,0.5,0.4815,0.5048,0.6068
10,1,test,0.5,0.4767,0.5025,0.5969
11,12,test,0.5,0.4757,0.5101,0.6159
12,5,test,0.5,0.3002,0.5079,0.6119
13,6,test,0.5,0.2828,0.5,0.6057
14,4,train,0.5,0.9498,0.9941,0.9939
15,1,train,0.5,0.9356,0.9738,0.978
16,8,train,0.5,0.933,0.9688,0.9765
17,11,train,0.5,0.9215,0.98,0.9854
18,10,train,0.5,0.8931,0.9582,0.9614
19,12,train,0.5,0.819,0.9082,0.9141
20,14,train,0.5,0.7143,0.802,0.8018
21,13,train,0.5,0.7043,0.7952,0.8086
22,2,train,0.5,0.6352,0.6914,0.7128
23,3,train,0.5,0.6352,0.6914,0.7127
24,9,train,0.5,0.6352,0.6914,0.7128
25,7,train,0.5,0.6297,0.6766,0.6351
26,5,train,0.5,0.3693,0.5156,0.5106
27,6,train,0.5,0.3356,0.5,0.4949
28,12,val,0.5,0.5703,0.545,0.6388
29,8,val,0.5,0.5529,0.5322,0.644
30,2,val,0.5,0.5441,0.5586,0.6321
31,3,val,0.5,0.5441,0.5586,0.6321
32,1,val,0.5,0.5441,0.5238,0.6227
33,9,val,0.5,0.5441,0.5586,0.6321
34,4,val,0.5,0.5141,0.4952,0.625
35,7,val,0.5,0.5004,0.4899,0.5867
36,10,val,0.5,0.4899,0.5045,0.6178
37,13,val,0.5,0.4751,0.4947,0.6324
38,11,val,0.5,0.452,0.4672,0.5807
39,14,val,0.5,0.4517,0.4678,0.6181
40,6,val,0.5,0.2832,0.5,0.6048
41,5,val,0.5,0.2832,0.5,0.6048
